Destination,Links
Munneswaram Kovil Temple,https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html
Mannar Baobab Tree,https://www.tripadvisor.com/Attraction_Review-g2435125-d7648453-Reviews-Baobab_Tree-Mannar_Northern_Province.html
St. Anne's National Shrine,https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html
Dutch Fort Kalpitiya,https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html
Matara Star Fort,https://www.tripadvisor.com/Attraction_Review-g946553-d2665121-Reviews-Star_Fort-Matara_Southern_Province.html
Sathmahal Prasada,https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html
Lotus Pond,https://www.tripadvisor.com/Attraction_Review-g304140-d3600932-Reviews-Lotus_Pond-Polonnaruwa_North_Central_Province.html
Moragahakanda Reservoir,https://www.tripadvisor.com/Attraction_Review-g304140-d20102251-Reviews-Moragahakanda_Reservoir-Polonnaruwa_North_Central_Province.html
Rankoth Vehera,https://www.tripadvisor.com/Attraction_Review-g304140-d3600911-Reviews-Rankoth_Vehera-Polonnaruwa_North_Central_Province.html
Sandakada Pahana Polonnaruwa,https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html
Nissanka Latha Mandapaya,https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html
Weijantha Prasada,https://www.tripadvisor.com/Attraction_Review-g304140-d3600983-Reviews-Weijantha_Prasada-Polonnaruwa_North_Central_Province.html
Thivanka Image House,https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html
Statue of Parakramabahu I,https://www.tripadvisor.com/Attraction_Review-g304140-d3600976-Reviews-Statue_of_Parakramabahu_I-Polonnaruwa_North_Central_Province.html
Seruvila Mangala Raja Maha Vihara,https://www.tripadvisor.com/Attraction_Review-g424963-d3844644-Reviews-Seruwila_Mangala_Raja_Maha_Vihara-Trincomalee_Eastern_Province.html
Thanthirimale Rajamaha Viharaya,https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html
Kudumbigala Monastery,https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html
Sithulpawwa,https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html
Medirigiriya Vatadage,https://www.tripadvisor.com/Attraction_Review-g304140-d7788023-Reviews-Medirigiriya_Vatadage-Polonnaruwa_North_Central_Province.html
Martin Wickramasinghe Folk Museum Complex,https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html
Rumasalla Mountain,https://www.tripadvisor.com/Attraction_Review-g297896-d3573860-Reviews-Rumasalla_Mountain-Galle_Galle_District_Southern_Province.html
St Lucia's Cathedral colombo,https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html
Riverston ,https://www.tripadvisor.com/Attraction_Review-g1865780-d3644069-Reviews-Riverston-Matale_Central_Province.html
Hiriwadunna Village Safari,https://www.tripadvisor.com/Attraction_Review-g12007126-d27101748-Reviews-Sandun_Village_Jeep_Safari_in_Hiriwadunna-Hiriwadunna_North_Central_Province.html
Ussangoda National Park,https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html
Dehiwala Zoo,https://www.tripadvisor.com/Attraction_Review-g499079-d19916123-Reviews-Dehiwala_Zoo-Dehiwala_Mount_Lavinia_Western_Province.html
One Galle Face,https://www.tripadvisor.com/Attraction_Review-g293962-d19410547-Reviews-One_Galle_Face-Colombo_Western_Province.html
Colombo City Centre (CCC) ,https://www.tripadvisor.com/Attraction_Review-g293962-d15218691-Reviews-Colombo_City_Centre-Colombo_Western_Province.html
Crescat Boulevard Mall,https://www.tripadvisor.com/Attraction_Review-g293962-d10383111-Reviews-Crescat_Boulevard_Mall-Colombo_Western_Province.html
Liberty Plaza ,https://www.tripadvisor.com/Attraction_Review-g293962-d11998753-Reviews-Liberty_Plaza-Colombo_Western_Province.html
Marino Mall Colombo,https://www.tripadvisor.com/Attraction_Review-g293962-d15084869-Reviews-Marino_Mall-Colombo_Western_Province.html
Arcade Independence Square,https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html
Racecourse Shopping Complex ,https://www.tripadvisor.com/Attraction_Review-g293962-d15221353-Reviews-Racecourse_Shopping_Complex-Colombo_Western_Province.html
